Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2015-09-03T06:00:00,349,1,URL,General News & Opinion,-2
2015-09-03T06:00:00,47,1,URL,Engineering & Technology,2
2015-09-03T06:00:00,36,1,Gmail,Email,-2
2015-09-03T06:00:00,26,1,Gmail,Email,-2
2015-09-03T06:00:00,21,1,URL,General Social Networking,-2
2015-09-03T06:00:00,16,1,Gmail,Email,-2
2015-09-03T06:00:00,8,1,URL,Search,0
2015-09-03T06:00:00,6,1,URL,General Reference & Learning,0
2015-09-03T06:00:00,2,1,newtab,Browsers,0
2015-09-03T06:00:00,2,1,URL,Engineering & Technology,2
2015-09-03T06:00:00,1,1,URL,General Reference & Learning,0
2015-09-03T06:00:00,1,1,URL,General Reference & Learning,0
2015-09-03T07:00:00,315,1,URL,General Social Networking,-2
2015-09-03T07:00:00,228,1,URL,General Social Networking,-2
2015-09-03T07:00:00,207,1,URL,General Social Networking,-2
2015-09-03T07:00:00,186,1,URL,Video,-2
2015-09-03T07:00:00,104,1,URL,Uncategorized,0
2015-09-03T07:00:00,103,1,URL,General Social Networking,-2
2015-09-03T07:00:00,69,1,URL,Search,0
2015-09-03T07:00:00,49,1,loginwindow,General Utilities,1
2015-09-03T07:00:00,44,1,URL,General Social Networking,-2
2015-09-03T07:00:00,43,1,URL,Search,0
2015-09-03T07:00:00,40,1,URL,General Social Networking,-2
2015-09-03T07:00:00,31,1,URL,Search,0
2015-09-03T07:00:00,22,1,URL,General Reference & Learning,0
2015-09-03T07:00:00,19,1,URL,Search,0
2015-09-03T07:00:00,18,1,newtab,Browsers,0
2015-09-03T07:00:00,16,1,URL,Search,0
2015-09-03T07:00:00,16,1,URL,General Shopping,-2
2015-09-03T07:00:00,14,1,URL,General Shopping,-2
2015-09-03T07:00:00,14,1,URL,Video,-2
2015-09-03T07:00:00,13,1,URL,General Social Networking,-2
2015-09-03T07:00:00,10,1,URL,Search,0
2015-09-03T07:00:00,10,1,URL,Home & Garden,2
2015-09-03T07:00:00,7,1,URL,General Shopping,-2
2015-09-03T07:00:00,4,1,URL,Uncategorized,0
2015-09-03T07:00:00,3,1,URL,General Social Networking,-2
2015-09-03T07:00:00,2,1,URL,General News & Opinion,-2
2015-09-03T07:00:00,1,1,URL,General Reference & Learning,2
2015-09-03T07:00:00,1,1,URL,General Shopping,-2
2015-09-03T07:00:00,1,1,URL,Video,-2
2015-09-03T07:00:00,1,1,URL,Search,0
2015-09-03T07:00:00,1,1,newtab,Browsers,0
2015-09-03T08:00:00,100,1,URL,Search,0
2015-09-03T08:00:00,91,1,URL,General Social Networking,-2
2015-09-03T08:00:00,83,1,URL,General Social Networking,-2
2015-09-03T08:00:00,81,1,URL,Uncategorized,0
2015-09-03T08:00:00,75,1,URL,Uncategorized,0
2015-09-03T08:00:00,44,1,URL,Science & Technology,-2
2015-09-03T08:00:00,38,1,loginwindow,General Utilities,1
2015-09-03T08:00:00,36,1,Gmail,Email,-2
2015-09-03T08:00:00,28,1,URL,Video,-2
2015-09-03T08:00:00,23,1,URL,General Social Networking,-2
2015-09-03T08:00:00,22,1,newtab,Browsers,0
2015-09-03T08:00:00,20,1,Gmail,Email,-2
2015-09-03T08:00:00,19,1,URL,General Social Networking,-2
2015-09-03T08:00:00,15,1,Gmail,Email,-2
2015-09-03T08:00:00,15,1,URL,Search,0
2015-09-03T08:00:00,14,1,URL,General Shopping,-2
2015-09-03T08:00:00,13,1,URL,General Social Networking,-2
2015-09-03T08:00:00,12,1,slack,Instant Message,-2
2015-09-03T08:00:00,10,1,URL,Uncategorized,0
2015-09-03T08:00:00,7,1,URL,Search,0
2015-09-03T08:00:00,6,1,URL,Search,0
2015-09-03T08:00:00,6,1,URL,General Shopping,-2
2015-09-03T08:00:00,5,1,Gmail,Email,-2
2015-09-03T08:00:00,3,1,URL,Search,0
2015-09-03T08:00:00,3,1,URL,General Social Networking,-2
2015-09-03T08:00:00,2,1,newtab,Browsers,0
2015-09-03T08:00:00,2,1,URL,Search,0
2015-09-03T08:00:00,2,1,Gmail,Email,-2
2015-09-03T08:00:00,1,1,URL,Search,0
2015-09-03T08:00:00,1,1,URL,General Social Networking,-2
2015-09-03T08:00:00,1,1,URL,General Shopping,-2
2015-09-03T09:00:00,41,1,loginwindow,General Utilities,1
2015-09-03T09:00:00,18,1,kiwi for gmail,Uncategorized,0
2015-09-03T09:00:00,3,1,URL,General Shopping,-2
2015-09-03T11:00:00,1601,1,kiwi for gmail,Uncategorized,0
2015-09-03T11:00:00,184,1,URL,General Social Networking,-2
2015-09-03T11:00:00,32,1,URL,General Social Networking,-2
2015-09-03T11:00:00,26,1,newtab,Browsers,0
2015-09-03T11:00:00,25,1,google chrome,Browsers,0
2015-09-03T11:00:00,25,1,URL,Uncategorized,0
2015-09-03T11:00:00,13,1,URL,General Shopping,-2
2015-09-03T11:00:00,8,1,URL,Search,0
2015-09-03T11:00:00,3,1,evernote,Intelligence,1
2015-09-03T11:00:00,3,1,newtab,Browsers,0
2015-09-03T11:00:00,2,1,URL,Search,0
2015-09-03T11:00:00,1,1,URL,Uncategorized,0
2015-09-03T12:00:00,164,1,evernote,Intelligence,1
2015-09-03T12:00:00,88,1,kiwi for gmail,Uncategorized,0
2015-09-03T12:00:00,63,1,loginwindow,General Utilities,1
2015-09-03T14:00:00,606,1,evernote,Intelligence,1
2015-09-03T14:00:00,106,1,kiwi for gmail,Uncategorized,0
2015-09-03T14:00:00,33,1,loginwindow,General Utilities,1
2015-09-03T14:00:00,26,1,slack,Instant Message,-2
2015-09-03T14:00:00,12,1,URL,General Social Networking,-2
2015-09-03T14:00:00,3,1,newtab,Browsers,0
2015-09-03T14:00:00,3,1,google chrome,Browsers,0
2015-09-03T14:00:00,1,1,URL,General Social Networking,-2
2015-09-03T15:00:00,228,1,kiwi for gmail,Uncategorized,0
2015-09-03T15:00:00,65,1,loginwindow,General Utilities,1
2015-09-03T15:00:00,13,1,messages,Instant Message,-2
2015-09-03T15:00:00,3,1,evernote,Intelligence,1
2015-09-03T15:00:00,1,1,messages,Instant Message,-2
2015-09-03T16:00:00,75,1,newtab,Browsers,0
2015-09-03T16:00:00,36,1,kiwi for gmail,Uncategorized,0
2015-09-03T16:00:00,32,1,loginwindow,General Utilities,1
2015-09-03T16:00:00,20,1,URL,General Social Networking,-2
2015-09-03T16:00:00,11,1,URL,Uncategorized,0
2015-09-03T16:00:00,2,1,URL,Uncategorized,0
2015-09-03T16:00:00,2,1,URL,General Social Networking,-2
2015-09-03T16:00:00,1,1,newtab,Browsers,0
2015-09-03T17:00:00,894,1,kiwi for gmail,Uncategorized,0
2015-09-03T17:00:00,15,1,newtab,Browsers,0
2015-09-03T17:00:00,8,1,slack,Instant Message,-2
2015-09-03T17:00:00,2,1,URL,Uncategorized,0
2015-09-03T17:00:00,2,1,loginwindow,General Utilities,1
2015-09-03T18:00:00,935,1,Google Spreadsheets,General Business,2
2015-09-03T18:00:00,499,1,kiwi for gmail,Uncategorized,0
2015-09-03T18:00:00,455,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,370,1,URL,General Reference & Learning,1
2015-09-03T18:00:00,84,1,stickies,Intelligence,2
2015-09-03T18:00:00,75,1,URL,Search,0
2015-09-03T18:00:00,56,1,URL,Search,0
2015-09-03T18:00:00,54,1,newtab,Browsers,0
2015-09-03T18:00:00,53,1,URL,General Business,2
2015-09-03T18:00:00,52,1,URL,Uncategorized,0
2015-09-03T18:00:00,50,1,URL,Search,0
2015-09-03T18:00:00,49,1,URL,Uncategorized,0
2015-09-03T18:00:00,40,1,URL,General Business,2
2015-09-03T18:00:00,39,1,spotify,General Entertainment,0
2015-09-03T18:00:00,35,1,URL,Uncategorized,0
2015-09-03T18:00:00,35,1,URL,Uncategorized,0
2015-09-03T18:00:00,33,1,URL,Uncategorized,0
2015-09-03T18:00:00,33,1,calendar,Calendars,0
2015-09-03T18:00:00,26,1,URL,Search,2
2015-09-03T18:00:00,24,1,URL,Legal & Gov't,2
2015-09-03T18:00:00,23,1,URL,Search,2
2015-09-03T18:00:00,22,1,URL,Search,0
2015-09-03T18:00:00,20,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,18,1,URL,Uncategorized,0
2015-09-03T18:00:00,17,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,17,1,URL,General Business,2
2015-09-03T18:00:00,13,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,13,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,12,1,URL,Search,0
2015-09-03T18:00:00,11,1,URL,General Business,2
2015-09-03T18:00:00,7,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,6,1,Google Spreadsheets,General Business,2
2015-09-03T18:00:00,4,1,facetime,Voice Chat,-2
2015-09-03T18:00:00,4,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,3,1,stickies,Intelligence,2
2015-09-03T18:00:00,3,1,URL,General Business,2
2015-09-03T18:00:00,3,1,URL,Search,0
2015-09-03T18:00:00,3,1,URL,General Reference & Learning,2
2015-09-03T18:00:00,2,1,Google Spreadsheets,General Business,2
2015-09-03T18:00:00,2,1,URL,Search,0
2015-09-03T18:00:00,2,1,newtab,Browsers,0
2015-09-03T18:00:00,1,1,URL,Search,0
2015-09-03T18:00:00,1,1,URL,Search,2
2015-09-03T18:00:00,1,1,URL,General Business,2
2015-09-03T19:00:00,1851,1,URL,General Reference & Learning,1
2015-09-03T19:00:00,1340,1,kiwi for gmail,Uncategorized,0
2015-09-03T19:00:00,323,1,Google Spreadsheets,General Business,2
2015-09-03T19:00:00,29,1,calendar,Calendars,0
2015-09-03T19:00:00,28,1,URL,General Reference & Learning,2
2015-09-03T19:00:00,12,1,evernote helper,General Reference & Learning,2
2015-09-03T19:00:00,9,1,URL,Engineering & Technology,2
2015-09-03T19:00:00,4,1,Calculator,General Utilities,1
2015-09-03T19:00:00,3,1,Google Spreadsheets,General Business,2
2015-09-03T19:00:00,1,1,URL,General Reference & Learning,2
2015-09-03T20:00:00,628,1,Google Spreadsheets,General Business,2
2015-09-03T20:00:00,553,1,kiwi for gmail,Uncategorized,0
2015-09-03T20:00:00,472,1,URL,Video,-2
2015-09-03T20:00:00,212,1,URL,General Social Networking,-2
2015-09-03T20:00:00,68,1,loginwindow,General Utilities,1
2015-09-03T20:00:00,16,1,URL,General Business,2
2015-09-03T20:00:00,13,1,URL,Video,-2
2015-09-03T20:00:00,7,1,calendar,Calendars,0
2015-09-03T20:00:00,7,1,URL,General Social Networking,-2
2015-09-03T20:00:00,5,1,URL,Uncategorized,0
2015-09-03T20:00:00,4,1,URL,General Business,2
2015-09-03T20:00:00,3,1,URL,Video,-2
2015-09-03T20:00:00,2,1,URL,General Business,2
2015-09-03T20:00:00,2,1,URL,General Social Networking,-2
2015-09-03T20:00:00,2,1,newtab,Browsers,0
2015-09-03T20:00:00,1,1,newtab,Browsers,0
